,city,cloudiness,country,date,humidity,latitude,longitude,max_temperature,wind_speed
85,Ahipara,49,NZ,1573717326,79,-35.17,173.16,61.83,20.67
86,Saint-Philippe,75,CA,1573717326,72,45.36,-73.48,17.6,5.82
87,Lima,90,PE,1573717292,88,-12.06,-77.04,64.4,6.93
88,Marsh Harbour,100,BS,1573717326,80,26.54,-77.06,75.58,18.99
89,Arraial do Cabo,100,BR,1573717326,87,-22.97,-42.02,73.56,27.56
90,Paamiut,100,GL,1573717326,68,61.99,-49.67,43.66,51.07
91,Sampit,100,ID,1573717326,91,-2.54,112.95,76.77,2.8
92,Lichinga,97,MZ,1573717327,27,-13.3,35.25,92.28,7.99
93,Rocha,0,UY,1573717239,95,-34.48,-54.34,61.02,4.85
94,Te Anau,2,NZ,1573717327,78,-45.41,167.72,45.05,6.89
95,Cidreira,100,BR,1573717239,94,-30.17,-50.22,69.62,23.8
96,Saskylakh,97,RU,1573717327,96,71.97,114.09,-13.22,13.82
97,Mulanje,100,MW,1573717327,31,-16.03,35.5,92.53,5.17
98,Acari,64,BR,1573717328,76,-6.44,-36.64,70.61,20.04
99,Hami,0,CN,1573717328,39,42.84,93.51,44.22,9.15
100,Port Macquarie,0,AU,1573717328,42,-31.43,152.91,68.0,9.17
101,Huarmey,86,PE,1573717328,97,-10.07,-78.15,59.2,1.14
102,Chicama,90,PE,1573717328,82,-7.84,-79.15,64.4,6.93
103,Ixtapa,40,MX,1573717328,88,20.71,-105.21,71.6,3.36
104,Aksu,90,KZ,1573717241,85,52.04,76.93,21.2,13.42
105,Vestmanna,1,FO,1573717329,77,62.16,-7.17,35.6,21.92
106,Chernyshevskiy,99,RU,1573717329,97,63.01,112.47,-14.89,3.71
107,Oriximina,100,BR,1573717329,92,-1.77,-55.87,75.87,0.87
108,Calvinia,0,ZA,1573717242,42,-31.47,19.78,66.2,11.41
109,Upernavik,82,GL,1573717329,64,72.79,-56.15,16.72,6.04
110,Saldanha,57,PT,1573717242,75,41.42,-6.55,40.62,14.16
111,Norman Wells,75,CA,1573717330,83,65.28,-126.83,-5.81,2.01
112,Nsanje,100,MZ,1573717330,24,-16.92,35.26,107.64,4.41
113,Arak,0,IR,1573717170,52,34.1,49.69,41.0,6.93
114,Benguela,75,AO,1573717330,74,-12.58,13.4,84.2,4.7
115,Casino,0,AU,1573717330,29,-28.86,153.05,78.8,18.34
116,Tiksi,25,RU,1573717330,99,71.64,128.87,-12.14,1.79
117,Lakhtar,0,IN,1573717331,30,22.86,71.79,90.73,11.88
118,East London,40,ZA,1573717134,72,-33.02,27.91,68.0,19.46
119,Barrow,6,AR,1573717331,92,-38.31,-60.23,53.17,6.42
120,Whitehorse,90,CA,1573717278,92,60.72,-135.06,15.8,2.24
121,Atar,100,MR,1573717331,13,20.52,-13.05,76.93,7.14
122,Aksarka,0,RU,1573717331,86,66.56,67.8,-11.01,4.05
123,Cabo San Lucas,0,MX,1573717055,83,22.89,-109.91,66.15,5.82
124,Sapa,90,PH,1573717331,70,14.32,120.76,84.2,5.82
125,Kano,98,NG,1573717244,14,11.99,8.53,85.37,7.9
126,Na Wa,75,TH,1573717332,69,17.49,104.1,78.8,9.17
127,Port Blair,55,IN,1573717244,67,11.67,92.75,83.93,4.74
128,Manokwari,88,ID,1573717245,91,-0.87,134.08,74.07,1.54
129,Shelburne,90,CA,1573717332,85,44.08,-80.2,28.4,6.93
130,Kezmarok,20,SK,1573717332,93,49.14,20.43,42.8,5.82
131,Caborca,52,MX,1573717245,58,30.58,-111.1,58.8,2.62
132,Tautira,90,PF,1573717245,65,-17.73,-149.15,78.8,3.36
133,Khatanga,99,RU,1573717333,96,71.98,102.47,-17.07,11.21
134,Trenggalek,31,ID,1573717333,39,-8.05,111.71,87.96,7.78
135,Ponta do Sol,100,BR,1573717333,97,-20.63,-46.0,65.86,3.78
136,Pangnirtung,96,CA,1573717334,68,66.15,-65.72,16.54,3.22
137,Kirakira,67,SB,1573717334,87,-10.46,161.92,78.67,4.97
138,Grants Pass,1,US,1573717334,87,42.44,-123.33,55.4,0.18
139,Kirensk,79,RU,1573717334,93,57.78,108.12,-11.01,2.42
140,Aden,42,YE,1573717218,41,12.79,45.03,88.43,17.47
141,Przhevalskoye,85,RU,1573717334,65,55.51,31.85,47.34,12.5
142,Yinchuan,0,CN,1573717335,16,38.48,106.21,46.33,7.7
143,Olinda,90,AU,1573717335,43,-37.84,145.39,71.6,16.11
144,College,90,US,1573717248,71,64.86,-147.8,10.4,19.46
145,Esperance,16,AU,1573717236,38,-33.86,121.89,75.2,17.22
146,Qinhuangdao,0,CN,1573717248,45,39.94,119.59,43.03,7.16
147,Provideniya,100,RU,1573717336,81,64.42,-173.23,18.64,28.12
148,Romny,0,UA,1573717248,56,50.74,33.49,47.03,16.71
149,Great Bend,1,US,1573717336,85,38.36,-98.78,28.4,6.93
150,Glendive,1,US,1573717336,100,47.11,-104.71,24.8,8.05
151,Ulladulla,99,AU,1573717249,20,-35.36,150.48,82.4,17.22
152,Sebinkarahisar,78,TR,1573717336,33,40.29,38.42,52.07,9.46
153,Khani,0,GE,1573717336,27,41.96,42.96,64.4,29.97
154,Kangaatsiaq,100,GL,1573717336,71,68.31,-53.46,33.21,29.1
155,Yellowknife,5,CA,1573717337,76,62.45,-114.38,-7.61,13.87
156,Camacha,75,PT,1573717337,82,33.08,-16.33,66.2,14.99
157,Talnakh,0,RU,1573717249,75,69.49,88.39,-16.61,2.21
